pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Japon,110,2013,Vin,2655,346000000.0,0.0,0.0,0.0,0.0,346000000.0,0.0
Japon,110,2013,Biere,2656,3596000000.0,0.0,0.0,0.0,0.0,3596000000.0,0.0
Japon,110,2013,Boissons Fermentes,2657,840000000.0,0.0,0.0,0.0,0.0,840000000.0,0.0
Japon,110,2013,Boissons Alcooliques,2658,1143000000.0,0.0,0.0,0.0,0.0,1143000000.0,0.0
Japon,110,2013,"Alcool, non Comestible",2659,589000000.0,0.0,0.0,0.0,0.0,0.0,589000000.0
Japon,110,2013,Aliments pour enfants,2680,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,Viande de Bovins,2731,1189000000.0,0.0,0.0,25000000.0,0.0,1164000000.0,0.0
Japon,110,2013,Viande d'Ovins/Caprins,2732,19000000.0,0.0,0.0,0.0,0.0,18000000.0,0.0
Japon,110,2013,Viande de Suides,2733,2670000000.0,0.0,0.0,49000000.0,0.0,2621000000.0,0.0
Japon,110,2013,Viande de Volailles,2734,2506000000.0,0.0,0.0,37000000.0,0.0,2469000000.0,0.0
Japon,110,2013,"Viande, Autre",2735,15000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0
Japon,110,2013,Abats Comestible,2736,348000000.0,0.0,0.0,0.0,0.0,348000000.0,0.0
Japon,110,2013,Graisses Animales Crue,2737,390000000.0,0.0,0.0,0.0,0.0,67000000.0,323000000.0
Japon,110,2013,"Beurre, Ghee",2740,73000000.0,0.0,0.0,0.0,0.0,73000000.0,0.0
Japon,110,2013,Creme,2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,Oeufs,2744,2560000000.0,0.0,75000000.0,50000000.0,0.0,2435000000.0,0.0
Japon,110,2013,Miel,2745,42000000.0,0.0,0.0,0.0,0.0,42000000.0,0.0
Japon,110,2013,Poissons Eau Douce,2761,636000000.0,0.0,0.0,0.0,0.0,636000000.0,0.0
Japon,110,2013,Perciform,2762,928000000.0,0.0,0.0,0.0,0.0,928000000.0,0.0
Japon,110,2013,Poissons Pelagiques,2763,3135000000.0,1476000000.0,0.0,0.0,0.0,1659000000.0,0.0
Japon,110,2013,"Poissons Marins, Autres",2764,732000000.0,0.0,2000000.0,0.0,0.0,731000000.0,0.0
Japon,110,2013,Crustaces,2765,1139000000.0,233000000.0,0.0,0.0,0.0,906000000.0,0.0
Japon,110,2013,Cephalopodes,2766,500000000.0,0.0,0.0,0.0,0.0,500000000.0,0.0
Japon,110,2013,"Mollusques, Autres",2767,819000000.0,0.0,0.0,0.0,0.0,819000000.0,0.0
Japon,110,2013,Animaux Aquatiques Autre,2769,57000000.0,0.0,0.0,0.0,0.0,34000000.0,24000000.0
Japon,110,2013,Plantes Aquatiques,2775,550000000.0,152000000.0,0.0,0.0,0.0,117000000.0,280000000.0
